Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
54,drone_8,13.221,15.110,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
54,drone_9,7.722,13.399,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
55,drone_0,8.882,14.322,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
55,drone_1,12.458,15.620,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
55,drone_2,8.772,13.346,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
55,drone_3,9.939,14.358,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
55,drone_5,11.692,15.167,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
55,drone_6,11.309,15.586,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
55,drone_7,11.138,16.204,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
55,drone_8,13.054,15.154,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
55,drone_9,-100.000,-100.000,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
56,drone_0,8.760,14.200,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
56,drone_1,12.314,15.655,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
56,drone_2,8.650,13.224,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
56,drone_3,9.797,14.218,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
56,drone_5,11.566,15.245,7.134,12.868,"15.545224055585793,16.59281189689761,1.0634703089312598;14.89451946885259,2.798866914482678,0.3251338068760995;9.066162072414315,9.923487585047448,1.0020954872557386;0.6692795047788875,19.44586434496777,0.3278339813878186;16.62032179090783,4.107065140844007,2.1032387672949904;3.9356783507655932,18.59907143696225,1.0145507427940124;3.441032676759982,0.33923497925689655,0.27186700999256197;17.744065095667,8.113776581159744,0.4083590331380853;13.70118934334257,7.77932312182566,2.1730067664722332;12.033048520897934,12.556461090474466,2.0336053486407675;3.6754607059678106,18.285575898775736,1.3535322069512445;13.248427782060253,4.173640493057493,0.4221861860429095;3.8088602668234453,15.289513519807247,1.2084992271817674;13.825445047515624,16.39597389574523,0.32226762760431704;6.541943027007364,8.218979829239332,0.8433231068346044;17.239890179914248,3.4719715003119402,1.0103280289300216;8.80251481998812,2.20732326867552,1.8571672033128834"
