Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
31,drone_9,14.633,13.318,13.609,3.921,"18.657352654432085,14.219689304784211,1.125523025988831;7.098861969739972,18.068600391581846,0.3752458546281488;7.835982269920692,5.199654952038723,1.3291678733782966;8.537767116172775,14.359753484637839,0.36602539708008097;10.09958477354997,17.113817792210014,0.3239790068159626;3.003350257937214,14.289867802398309,1.200467561362522;4.537103110391721,3.574057006148071,0.6257608786019327;19.44034618259006,11.991615773898173,0.4276145205614697;18.428679176851983,9.516023115129261,0.31641210739530745;16.736146620739184,9.474197567204367,2.4559965213878643;5.83296934588119,16.966264786245617,0.7313765704006554;11.448174823295496,8.004477318911308,0.2192105891861936;10.862751446551783,9.059104726613068,1.2532703111784862;1.8751180545431252,7.505225899929751,1.1552938021878218;7.190758122238461,16.135849307119162,1.2181537296680303;18.48880749061391,1.0802078404674977,1.0619145969121282;7.601406154237906,9.149332527801905,1.3274737161525907;8.19765161634249,9.562318727998136,1.2562345511445274;11.22626642300119,19.62512146616933,0.3050792067766725;15.685607887441874,8.834985008559661,1.7234535915248408;9.945099592052717,11.05433060384371,0.618081041393212;3.981863543568065,2.610622507688675,1.34262218853235"
32,drone_0,13.531,10.538,13.609,3.921,"18.657352654432085,14.219689304784211,1.125523025988831;7.098861969739972,18.068600391581846,0.3752458546281488;7.835982269920692,5.199654952038723,1.3291678733782966;8.537767116172775,14.359753484637839,0.36602539708008097;10.09958477354997,17.113817792210014,0.3239790068159626;3.003350257937214,14.289867802398309,1.200467561362522;4.537103110391721,3.574057006148071,0.6257608786019327;19.44034618259006,11.991615773898173,0.4276145205614697;18.428679176851983,9.516023115129261,0.31641210739530745;16.736146620739184,9.474197567204367,2.4559965213878643;5.83296934588119,16.966264786245617,0.7313765704006554;11.448174823295496,8.004477318911308,0.2192105891861936;10.862751446551783,9.059104726613068,1.2532703111784862;1.8751180545431252,7.505225899929751,1.1552938021878218;7.190758122238461,16.135849307119162,1.2181537296680303;18.48880749061391,1.0802078404674977,1.0619145969121282;7.601406154237906,9.149332527801905,1.3274737161525907;8.19765161634249,9.562318727998136,1.2562345511445274;11.22626642300119,19.62512146616933,0.3050792067766725;15.685607887441874,8.834985008559661,1.7234535915248408;9.945099592052717,11.05433060384371,0.618081041393212;3.981863543568065,2.610622507688675,1.34262218853235"
32,drone_1,12.525,4.057,13.609,3.921,"18.657352654432085,14.219689304784211,1.125523025988831;7.098861969739972,18.068600391581846,0.3752458546281488;7.835982269920692,5.199654952038723,1.3291678733782966;8.537767116172775,14.359753484637839,0.36602539708008097;10.09958477354997,17.113817792210014,0.3239790068159626;3.003350257937214,14.289867802398309,1.200467561362522;4.537103110391721,3.574057006148071,0.6257608786019327;19.44034618259006,11.991615773898173,0.4276145205614697;18.428679176851983,9.516023115129261,0.31641210739530745;16.736146620739184,9.474197567204367,2.4559965213878643;5.83296934588119,16.966264786245617,0.7313765704006554;11.448174823295496,8.004477318911308,0.2192105891861936;10.862751446551783,9.059104726613068,1.2532703111784862;1.8751180545431252,7.505225899929751,1.1552938021878218;7.190758122238461,16.135849307119162,1.2181537296680303;18.48880749061391,1.0802078404674977,1.0619145969121282;7.601406154237906,9.149332527801905,1.3274737161525907;8.19765161634249,9.562318727998136,1.2562345511445274;11.22626642300119,19.62512146616933,0.3050792067766725;15.685607887441874,8.834985008559661,1.7234535915248408;9.945099592052717,11.05433060384371,0.618081041393212;3.981863543568065,2.610622507688675,1.34262218853235"
32,drone_2,6.012,1.884,13.609,3.921,"18.657352654432085,14.219689304784211,1.125523025988831;7.098861969739972,18.068600391581846,0.3752458546281488;7.835982269920692,5.199654952038723,1.3291678733782966;8.537767116172775,14.359753484637839,0.36602539708008097;10.09958477354997,17.113817792210014,0.3239790068159626;3.003350257937214,14.289867802398309,1.200467561362522;4.537103110391721,3.574057006148071,0.6257608786019327;19.44034618259006,11.991615773898173,0.4276145205614697;18.428679176851983,9.516023115129261,0.31641210739530745;16.736146620739184,9.474197567204367,2.4559965213878643;5.83296934588119,16.966264786245617,0.7313765704006554;11.448174823295496,8.004477318911308,0.2192105891861936;10.862751446551783,9.059104726613068,1.2532703111784862;1.8751180545431252,7.505225899929751,1.1552938021878218;7.190758122238461,16.135849307119162,1.2181537296680303;18.48880749061391,1.0802078404674977,1.0619145969121282;7.601406154237906,9.149332527801905,1.3274737161525907;8.19765161634249,9.562318727998136,1.2562345511445274;11.22626642300119,19.62512146616933,0.3050792067766725;15.685607887441874,8.834985008559661,1.7234535915248408;9.945099592052717,11.05433060384371,0.618081041393212;3.981863543568065,2.610622507688675,1.34262218853235"
32,drone_4,10.603,6.116,13.609,3.921,"18.657352654432085,14.219689304784211,1.125523025988831;7.098861969739972,18.068600391581846,0.3752458546281488;7.835982269920692,5.199654952038723,1.3291678733782966;8.537767116172775,14.359753484637839,0.36602539708008097;10.09958477354997,17.113817792210014,0.3239790068159626;3.003350257937214,14.289867802398309,1.200467561362522;4.537103110391721,3.574057006148071,0.6257608786019327;19.44034618259006,11.991615773898173,0.4276145205614697;18.428679176851983,9.516023115129261,0.31641210739530745;16.736146620739184,9.474197567204367,2.4559965213878643;5.83296934588119,16.966264786245617,0.7313765704006554;11.448174823295496,8.004477318911308,0.2192105891861936;10.862751446551783,9.059104726613068,1.2532703111784862;1.8751180545431252,7.505225899929751,1.1552938021878218;7.190758122238461,16.135849307119162,1.2181537296680303;18.48880749061391,1.0802078404674977,1.0619145969121282;7.601406154237906,9.149332527801905,1.3274737161525907;8.19765161634249,9.562318727998136,1.2562345511445274;11.22626642300119,19.62512146616933,0.3050792067766725;15.685607887441874,8.834985008559661,1.7234535915248408;9.945099592052717,11.05433060384371,0.618081041393212;3.981863543568065,2.610622507688675,1.34262218853235"
32,drone_5,11.683,11.679,13.609,3.921,"18.657352654432085,14.219689304784211,1.125523025988831;7.098861969739972,18.068600391581846,0.3752458546281488;7.835982269920692,5.199654952038723,1.3291678733782966;8.537767116172775,14.359753484637839,0.36602539708008097;10.09958477354997,17.113817792210014,0.3239790068159626;3.003350257937214,14.289867802398309,1.200467561362522;4.537103110391721,3.574057006148071,0.6257608786019327;19.44034618259006,11.991615773898173,0.4276145205614697;18.428679176851983,9.516023115129261,0.31641210739530745;16.736146620739184,9.474197567204367,2.4559965213878643;5.83296934588119,16.966264786245617,0.7313765704006554;11.448174823295496,8.004477318911308,0.2192105891861936;10.862751446551783,9.059104726613068,1.2532703111784862;1.8751180545431252,7.505225899929751,1.1552938021878218;7.190758122238461,16.135849307119162,1.2181537296680303;18.48880749061391,1.0802078404674977,1.0619145969121282;7.601406154237906,9.149332527801905,1.3274737161525907;8.19765161634249,9.562318727998136,1.2562345511445274;11.22626642300119,19.62512146616933,0.3050792067766725;15.685607887441874,8.834985008559661,1.7234535915248408;9.945099592052717,11.05433060384371,0.618081041393212;3.981863543568065,2.610622507688675,1.34262218853235"
32,drone_7,12.858,9.892,13.609,3.921,"18.657352654432085,14.219689304784211,1.125523025988831;7.098861969739972,18.068600391581846,0.3752458546281488;7.835982269920692,5.199654952038723,1.3291678733782966;8.537767116172775,14.359753484637839,0.36602539708008097;10.09958477354997,17.113817792210014,0.3239790068159626;3.003350257937214,14.289867802398309,1.200467561362522;4.537103110391721,3.574057006148071,0.6257608786019327;19.44034618259006,11.991615773898173,0.4276145205614697;18.428679176851983,9.516023115129261,0.31641210739530745;16.736146620739184,9.474197567204367,2.4559965213878643;5.83296934588119,16.966264786245617,0.7313765704006554;11.448174823295496,8.004477318911308,0.2192105891861936;10.862751446551783,9.059104726613068,1.2532703111784862;1.8751180545431252,7.505225899929751,1.1552938021878218;7.190758122238461,16.135849307119162,1.2181537296680303;18.48880749061391,1.0802078404674977,1.0619145969121282;7.601406154237906,9.149332527801905,1.3274737161525907;8.19765161634249,9.562318727998136,1.2562345511445274;11.22626642300119,19.62512146616933,0.3050792067766725;15.685607887441874,8.834985008559661,1.7234535915248408;9.945099592052717,11.05433060384371,0.618081041393212;3.981863543568065,2.610622507688675,1.34262218853235"
32,drone_8,13.632,4.768,13.609,3.921,"18.657352654432085,14.219689304784211,1.125523025988831;7.098861969739972,18.068600391581846,0.3752458546281488;7.835982269920692,5.199654952038723,1.3291678733782966;8.537767116172775,14.359753484637839,0.36602539708008097;10.09958477354997,17.113817792210014,0.3239790068159626;3.003350257937214,14.289867802398309,1.200467561362522;4.537103110391721,3.574057006148071,0.6257608786019327;19.44034618259006,11.991615773898173,0.4276145205614697;18.428679176851983,9.516023115129261,0.31641210739530745;16.736146620739184,9.474197567204367,2.4559965213878643;5.83296934588119,16.966264786245617,0.7313765704006554;11.448174823295496,8.004477318911308,0.2192105891861936;10.862751446551783,9.059104726613068,1.2532703111784862;1.8751180545431252,7.505225899929751,1.1552938021878218;7.190758122238461,16.135849307119162,1.2181537296680303;18.48880749061391,1.0802078404674977,1.0619145969121282;7.601406154237906,9.149332527801905,1.3274737161525907;8.19765161634249,9.562318727998136,1.2562345511445274;11.22626642300119,19.62512146616933,0.3050792067766725;15.685607887441874,8.834985008559661,1.7234535915248408;9.945099592052717,11.05433060384371,0.618081041393212;3.981863543568065,2.610622507688675,1.34262218853235"
32,drone_9,14.527,13.149,13.609,3.921,"18.657352654432085,14.219689304784211,1.125523025988831;7.098861969739972,18.068600391581846,0.3752458546281488;7.835982269920692,5.199654952038723,1.3291678733782966;8.537767116172775,14.359753484637839,0.36602539708008097;10.09958477354997,17.113817792210014,0.3239790068159626;3.003350257937214,14.289867802398309,1.200467561362522;4.537103110391721,3.574057006148071,0.6257608786019327;19.44034618259006,11.991615773898173,0.4276145205614697;18.428679176851983,9.516023115129261,0.31641210739530745;16.736146620739184,9.474197567204367,2.4559965213878643;5.83296934588119,16.966264786245617,0.7313765704006554;11.448174823295496,8.004477318911308,0.2192105891861936;10.862751446551783,9.059104726613068,1.2532703111784862;1.8751180545431252,7.505225899929751,1.1552938021878218;7.190758122238461,16.135849307119162,1.2181537296680303;18.48880749061391,1.0802078404674977,1.0619145969121282;7.601406154237906,9.149332527801905,1.3274737161525907;8.19765161634249,9.562318727998136,1.2562345511445274;11.22626642300119,19.62512146616933,0.3050792067766725;15.685607887441874,8.834985008559661,1.7234535915248408;9.945099592052717,11.05433060384371,0.618081041393212;3.981863543568065,2.610622507688675,1.34262218853235"
33,drone_0,13.542,10.366,13.609,3.921,"18.657352654432085,14.219689304784211,1.125523025988831;7.098861969739972,18.068600391581846,0.3752458546281488;7.835982269920692,5.199654952038723,1.3291678733782966;8.537767116172775,14.359753484637839,0.36602539708008097;10.09958477354997,17.113817792210014,0.3239790068159626;3.003350257937214,14.289867802398309,1.200467561362522;4.537103110391721,3.574057006148071,0.6257608786019327;19.44034618259006,11.991615773898173,0.4276145205614697;18.428679176851983,9.516023115129261,0.31641210739530745;16.736146620739184,9.474197567204367,2.4559965213878643;5.83296934588119,16.966264786245617,0.7313765704006554;11.448174823295496,8.004477318911308,0.2192105891861936;10.862751446551783,9.059104726613068,1.2532703111784862;1.8751180545431252,7.505225899929751,1.1552938021878218;7.190758122238461,16.135849307119162,1.2181537296680303;18.48880749061391,1.0802078404674977,1.0619145969121282;7.601406154237906,9.149332527801905,1.3274737161525907;8.19765161634249,9.562318727998136,1.2562345511445274;11.22626642300119,19.62512146616933,0.3050792067766725;15.685607887441874,8.834985008559661,1.7234535915248408;9.945099592052717,11.05433060384371,0.618081041393212;3.981863543568065,2.610622507688675,1.34262218853235"
33,drone_1,12.722,4.018,13.609,3.921,"18.657352654432085,14.219689304784211,1.125523025988831;7.098861969739972,18.068600391581846,0.3752458546281488;7.835982269920692,5.199654952038723,1.3291678733782966;8.537767116172775,14.359753484637839,0.36602539708008097;10.09958477354997,17.113817792210014,0.3239790068159626;3.003350257937214,14.289867802398309,1.200467561362522;4.537103110391721,3.574057006148071,0.6257608786019327;19.44034618259006,11.991615773898173,0.4276145205614697;18.428679176851983,9.516023115129261,0.31641210739530745;16.736146620739184,9.474197567204367,2.4559965213878643;5.83296934588119,16.966264786245617,0.7313765704006554;11.448174823295496,8.004477318911308,0.2192105891861936;10.862751446551783,9.059104726613068,1.2532703111784862;1.8751180545431252,7.505225899929751,1.1552938021878218;7.190758122238461,16.135849307119162,1.2181537296680303;18.48880749061391,1.0802078404674977,1.0619145969121282;7.601406154237906,9.149332527801905,1.3274737161525907;8.19765161634249,9.562318727998136,1.2562345511445274;11.22626642300119,19.62512146616933,0.3050792067766725;15.685607887441874,8.834985008559661,1.7234535915248408;9.945099592052717,11.05433060384371,0.618081041393212;3.981863543568065,2.610622507688675,1.34262218853235"
33,drone_2,6.185,1.984,13.609,3.921,"18.657352654432085,14.219689304784211,1.125523025988831;7.098861969739972,18.068600391581846,0.3752458546281488;7.835982269920692,5.199654952038723,1.3291678733782966;8.537767116172775,14.359753484637839,0.36602539708008097;10.09958477354997,17.113817792210014,0.3239790068159626;3.003350257937214,14.289867802398309,1.200467561362522;4.537103110391721,3.574057006148071,0.6257608786019327;19.44034618259006,11.991615773898173,0.4276145205614697;18.428679176851983,9.516023115129261,0.31641210739530745;16.736146620739184,9.474197567204367,2.4559965213878643;5.83296934588119,16.966264786245617,0.7313765704006554;11.448174823295496,8.004477318911308,0.2192105891861936;10.862751446551783,9.059104726613068,1.2532703111784862;1.8751180545431252,7.505225899929751,1.1552938021878218;7.190758122238461,16.135849307119162,1.2181537296680303;18.48880749061391,1.0802078404674977,1.0619145969121282;7.601406154237906,9.149332527801905,1.3274737161525907;8.19765161634249,9.562318727998136,1.2562345511445274;11.22626642300119,19.62512146616933,0.3050792067766725;15.685607887441874,8.834985008559661,1.7234535915248408;9.945099592052717,11.05433060384371,0.618081041393212;3.981863543568065,2.610622507688675,1.34262218853235"
